pair,term,estimate,std.error,statistic,p.value,p.adjusted
doggy_dog,(age),0.8078648862054125,0.03347558725782794,24.13295635363353,1.1275208135620378e-128,1.4657770576306492e-127
kitty_cat,(age),0.5469961339112975,0.03420809162856857,15.990255751492398,1.494163379221662e-57,1.7929960550659943e-56
tummy_stomach,(age),1.0640886104669594,0.11622641721547465,9.155307682712293,5.420312488486446e-20,5.962343737335091e-19
daddy_dad,(age),0.7789471801417782,0.023144712838616823,33.65551284101954,2.5895435667806243e-248,3.625360993492874e-247
mommy_mom,(age),0.5363820988348075,0.01318843112369113,40.670652468379934,0,0
bunny_rabbit,(age),0.06372718591000977,0.04079663669979205,1.562069598505276,0.11827159387588482,0.23654318775176963
duckie_duck,(age),-0.02773004153959361,0.06016981521540018,-0.4608629998334487,0.6448968989920376,0.6448968989920376
blankie_blanket,(age),0.22095108041287242,0.09085084729671396,2.4320200304930357,0.015014876934538913,0.06005950773815565
froggy_frog,(age),0.1866929468207284,0.08642733500644097,2.160114584197409,0.030763800277406772,0.09229140083222032
potty_bathroom,(age),0.48918232302091486,0.08616095468755991,5.677540653940131,1.366450580988647e-8,8.198703485931881e-8
night night_goodnight,(age),1.848732968504094,0.2699546143796934,6.848310308575929,7.472733597979383e-12,5.978186878383506e-11
dolly_doll,(age),0.3785177740983293,0.05669292025930385,6.676632150311765,2.4449560257530746e-11,1.7114692180271522e-10
horsey_horse,(age),0.36107820718475475,0.04072397886085882,8.866476638209805,7.54967729462116e-19,7.54967729462116e-18
piggy_pig,(age),0.43475079335037253,0.06318239963801603,6.880884484304845,5.9482071883100454e-12,5.353386469479041e-11
birdie_bird,(age),0.25856174112033664,0.05784852645144312,4.46963400765909,7.835355563295666e-6,3.917677781647833e-5
