filename,transcription,word,speaker
other-frog1.wav,what does the frog say,frog,other
other-frog2.wav,get the paper and i'll get the frog,frog,other
other-frog3.wav,so this story here is gonna be about a little boy a frog and a dog okay,frog,other
other-frog4.wav,yep the frog is,frog,other
other-frog5.wav,farm frogs,frog,other
other-frog6.wav,the zebra um she came over with the frog and the bee and the chicken rooster whatever but she didn't really play much with it,frog,other
other-frog7.wav,frog walked into the house it was dark,frog,other
other-frog8.wav,ah frog,frog,other
other-frog9.wav,then he and frog ran outside to see how the world was looking in the spring,frog,other
other-frog10.wav,it's a frog,frog,other
other-frog11.wav,xxx frog,frog,other
other-frog12.wav,i'm gonna have the elephant do something to the frog but piggy can't see okay,frog,other
other-frog13.wav,xxx i think that's a frog,frog,other
other-frog14.wav,what do you see the frog,frog,other
other-frog15.wav,but i don't think she'd like would have really understand the recognized frog versus bee,frog,other
other-frog16.wav,i see a green frog looking at me,frog,other
other-frog17.wav,that is a lovely frog you're right,frog,other
other-frog18.wav,oh please go away cried frog,frog,other
other-frog19.wav,and this is a story book and about uh a boy and his dog and his pet frog,frog,other
other-frog20.wav,a frog,frog,other
other-frog21.wav,i already have a full tummy he said it feels like it's full of jumping frogs,frog,other
other-frog22.wav,moon frog that's a great one huh,frog,other
other-frog23.wav,frog tell that turtle to go away said toad i don't want him to see me in my bathing suit,frog,other
other-frog24.wav,touch the frog's smooth,frog,other
other-frog25.wav,now the hog and the frog hurry out for a jog,frog,other
other-frog26.wav,there's a frog,frog,other
other-frog27.wav,hi frog,frog,other
other-frog28.wav,there's a green frog,frog,other
other-frog29.wav,frog,frog,other
other-frog30.wav,yes a frog,frog,other
other-frog31.wav,that's the frog,frog,other
other-frog32.wav,so this story here is about a boy his dog and a frog,frog,other
other-frog33.wav,i think i'm gonna put the frog underneath the block,frog,other
other-frog34.wav,hip+hop bee_bop farm frogs rock hop,frog,other
other-frog35.wav,that's your little frog,frog,other
other-frog36.wav,let's see frog and toad are friends,frog,other
other-frog37.wav,the frog has orange spots,frog,other
other-frog38.wav,you have a frog,frog,other
other-frog39.wav,look it's a frog,frog,other
other-frog40.wav,ooh this is a frog,frog,other
other-frog41.wav,well i hafta go to frog and toad right,frog,other
other-frog42.wav,but toad cried frog you'll miss all the fun,frog,other
other-frog43.wav,more frogs,frog,other
other-frog44.wav,that frog look like your daddy,frog,other
other-frog45.wav,you caught a frog,frog,other
other-frog46.wav,frog jumped ten,frog,other
other-frog47.wav,okay so this book is about a boy and his dog and his frog,frog,other
other-frog48.wav,you've been asleep since november said frog,frog,other
other-frog49.wav,frog,frog,other
other-frog50.wav,and this giraffe has a frog for a friend,frog,other
other-frog51.wav,the frog's on the table,frog,other
other-frog52.wav,but he could not think of a story to tell frog,frog,other
other-frog53.wav,uh eh went the little green frog one day,frog,other
other-frog54.wav,green frog,frog,other
other-frog55.wav,so this is a story about a dog a frog and a little boy,frog,other
other-frog56.wav,a tomato frog,frog,other
other-frog57.wav,do you see a frog,frog,other
other-frog58.wav,frog tore off the april page too,frog,other
other-frog59.wav,the frog says,frog,other
other-frog60.wav,four days later the snail got to toad's house and gave him the letter from frog,frog,other
other-frog61.wav,you're going to eat the frog,frog,other
other-frog62.wav,there was a bright green frog,frog,other
other-frog63.wav,someone's coming to join us frog,frog,other
other-frog64.wav,potato frogs,frog,other
other-frog65.wav,like a frog balancing on a lily pad,frog,other
other-frog66.wav,and he's a frog,frog,other
other-frog67.wav,it's a frog,frog,other
other-frog68.wav,i see a frog in there,frog,other
other-frog69.wav,that's sister's frog,frog,other
other-frog70.wav,so frog tore off november tore off december january february march xxx came to april,frog,other
other-frog71.wav,frog,frog,other
other-frog72.wav,imitation is how the frogs lost their tails,frog,other
other-frog73.wav,the frog has orange spots,frog,other
other-frog74.wav,frogs lay their eggs in clumps of clear jelly which float to the surface of the pond,frog,other
other-frog75.wav,why are you standing on your head asked frog,frog,other
other-frog76.wav,what's a frog say,frog,other
other-frog77.wav,frog,frog,other
other-frog78.wav,and the frog says,frog,other
other-frog79.wav,a green frog,frog,other
other-frog80.wav,big green frog,frog,other
other-frog81.wav,here's a frog,frog,other
other-frog82.wav,what's a frog say,frog,other
other-frog83.wav,and what'd she tell you to do with the frog,frog,other
other-frog84.wav,i'm sorry toad said frog everyone wants to see how you look,frog,other
other-frog85.wav,you gonna chew on the frog now,frog,other
other-frog86.wav,so but but yeah i i showed him the sheep and the frog and the uh i didn't get to the the pooh_bear and uh the this one and he wasn't interested in the stuffed animals today,frog,other
other-frog87.wav,green frogs,frog,other
other-frog88.wav,can you do aunty a frog,frog,other
other-frog89.wav,yeah frog,frog,other
